"Note","Description"
"0,5","Sonic se rêve en justicier, façon super-héros, sauvant la veuve et l’orphelin dans la petite ville de Green Hills. Sauf que le Dr Robotnik est de retour, bien décidé à éliminer une bonne fois pour toute le hérisson anthropomorphe…Qui aurait cru que la première adaptation, Sonic (2020), rencontrerait autant de succès (rapportant plus de 3 fois sa mise de départ). Alors qu’un incroyable badbuzz avait précédé la sortie mondiale du film. C’est donc sans réelle surprise que Paramount a donné son feu vert pour lancer cette suite purement mercantile & opportuniste, qui s’adresse essentiellement aux enfants et aux fans de la première heure.Histoire de rajouter un peu de consistance au script (et parce que la guéguerre entre Sonic & Robotnik, à un moment donné, ça devient redondant), deux nouveaux personnages viennent se rajouter au récit, à savoir Knuckles (l’échidné à dreadlocks) et Tails (le renard à deux queues).Très clairement, le film est orienté vers la tranche d’âge 6-12ans, à en voir l’humour et les gags bas du front (il y est souvent question de flatulence, sans oublier Tails avec son (je cite) ""fessier-copter""). Les personnages secondaires (James Marsden en tête) servent quant à eux à meubler les sous-intrigues toutes plus futiles les unes que les autres (visiblement, Jeff Fowler ne sait pas trop quoi faire d’eux et tente tant bien que mal de leur trouver une consistance).Sonic 2 (2022) est l’exemple même du produit calibré pour son auditoire (les gamins), on se retrouve devant une adaptation assez insipide et fade, qui se contente de ne faire que du remplissage pendant deux longues heures (Sonic seul dans la maison qu’il transforme en ProjetX, Sonic en Sibérie dans une battle de danse, …). Bref, on a largement de quoi se faire chier, d’ailleurs, on se demande encore quel était l’intérêt de faire autant de références à la pop culture (qui n’apportent strictement rien au film), pêle-mêle on y retrouve Batman, Uber, Professor X, Le Soldat de l'hiver et même le Monopoly.Alors que le premier opus sortait en salles en février 2020, moins d’un an plus tard, le tournage du second volet démarrait. Réalisé dans la précipitation et avec une post-prod de moins de 6 mois, il n’est pas surprenant de se retrouver avec des CGI aussi déprimants (les textures sont toutes plus foirées les unes que les autres et à de trop nombreuses reprises les interactions entre les acteurs et les personnages en CGI ne collent pas).L’ennui, c’est que l’on n’est pas près d’en finir avec Sonic, puisqu’un 3ème opus est déjà annoncé 
spoiler: 
(comme en atteste la scène post-générique avec l’apparition de Shadow).
● http://bit.ly/CinephileNostalGeek ● http://twitter.com/B_Renger ●"
"1,5","Une suite uniquement tournée vers les plus jeunes avec ses gags de cour de récré et son histoire gorgée de bons sentiments niais, dans laquelle Jim Carrey semble venir uniquement récupérer son dernier chèque (il souhaite vraiment arrêter sa carrière sur ce rôle ? Ce mastodonte du cinéma mérite mille fois mieux...). Aussi, si vous voulez vous offrir deux heures de roupillon salvateur tandis que les marmots rigolent, Sonic 2 est idéal, à la limite d'être remboursé par la Sécu. Et si vous y allez sans marmot, vous pouvez déjà vous préparer à voir une intrigue de mariage longue et ridicule digne d'une série B américaine, deux nouveaux personnages (Tails et Knuckles) doublés avec des voix encore plus irritantes que celle de Malik Bentalha (on ne pensait pas cela possible, ils nous ont prouvé l'inverse), un Jim Carrey assez dispensable (il passe nettement après le trio Sonic / Tails / Knucles, sauf dans un final qui se rappelle qu'il existe et l'exploite vingt minutes), une durée infernale (2h05...qu'on a vraiment senties passer), et évidemment le niveau des gags qui ne vous est pas destiné (assez consternant si on n'a plus 5 ans). Ceci dit, les effets spéciaux ne sont pas vilains (les animations des créatures numériques sont bien faites, si seulement les figurants pouvaient se donner la peine de regarder au bon endroit...), la morale bienpensante dégoulinant de bons sentiments ne fait pas de mal aux enfants, et ces derniers passent généralement un bon moment (ceux de la salle étaient très réceptifs, les parents beaucoup moins). On a passé un moment long, très long, se sentant vraiment oublié par le niveau des vannes (aucune pour les plus de 8 ans), agacé par les doublages irritants, et désolé pour le fameux Jim qui est ici une marionnette tristement dispensable. Même le magnifique travail de doublage d'Emmanuel Curtil, à saluer encore, ne réussit pas à sauver son modèle, délirant dans l'opus précédent, transparent dans celui-ci. A réserver aux tout-petits."
"1,0","S’il conserve la bêtise et la laideur de son aîné, Sonic 2 a le mérite d’offrir à Jim Carrey un espace de jeu plus important : nous le voyons cabotiner, sauter partout et tomber, évoluer au sein d’une forêt de champignons géants ou critiquer le goût dilué d’un café à son image. L’acteur, conscient de la médiocrité du projet, s’amuse comme un enfant profite de l’absence d’autorité pour faire n’importe quoi ; il commence d’ailleurs par parodier Tom Hanks dans Cast Away (2000) avec un meilleur ami imaginaire plaqué sur un rocher. Pour autant, il ne recouvre guère la démesure d’un Ace Ventura, témoigne au contraire de la galvanisation hollywoodienne de son personnage dégradé en pseudo label qualité d’un vulgaire produit de consommation vendu à un public familial peu regardant. Le reste est en tout point similaire au désastre précédent : omniprésence de ce second degré stérile qui paralyse tant de blockbusters contemporains, laideur des images numériques, absence de mise en scène. Car il y avait certainement davantage de cinéma dans le jeu vidéo que dans ces piteuses adaptations."
"3,0","----------------------------POST-GENERIQUE----------------------------Plus ambitieux que le premier sur nombreux éléments, mais d'un autre côté... Le premier était pour un public enfant (béta) ET les adultes: il y a des ester eggs, une seconde lecture (bien que légère) etc...Mais là c'est avant tout plaire aux jeunes enfants... et si ça plait aux adultes c'est bonus.Salle comble (d'enfants), les quelques éléments du premier où on se retrouve enfoncé dans le siège avec un Sonic insupportable sont poussés au paroxysme; des vans dignes d’un autre siècle ne fonctionnant pas (ou faisant au mieux sourire gras), un Sonic préado en roue libre, un Robotnik alias Jim Carrey en roue libre: tout est caricatural; Les gadgets de Tails sont des cochonneries en plastique directement sortis des magasins de produits dérivés du film, avec, à côté, un lot de sucettes (robots, émeraudes, nouveaux personnages, refs à différents jeux, etc…) mais n’ayant jamais le bon emballage! (la séquence à Seattle se terminant avec de l’eau sortant des égouts et un Sonic regardant le spectacle sous la pleine Lune à l’instar du début de ‘Sonic Adventure’, avec le mot ‘Chaos’ apparaissant même dans le titre du journal du lendemain, mais sans que Chaos n’apparaisse jamais (ni Tikal)), tous les appareils de Robotnik, bien qu’ayant souvent des traits fidèles: d’un blanc immaculé, Robotnik lui-même: enfin dans sa veste rouge: mais pas celle que l’on connait, le biplan de Tails est rouge au lieu d’être jaune, Tails, qui, au-delà de sa voix ‘particulière’ dans la VF, n’est pas du tout développé; L’’émeraude mère’, parce qu’il faut que les personnages puissent la prendre dans leur main: a une taille semblable aux 7 émeraudes, 7 émeraudes qui quant-à elles se retrouvent à être minuscules (et pour le coup ridicules), des plans faisant penser à ceux de Sonic Adventure (et sa forêt labyrinthique), mais là uniquement pour la déco, les yeux de Knuckle qui s’illuminent on ne sait pas trop pourquoi, « l’île », sortant de l’eau, mais ne s’envolant pas, et en parallèle: Knukles qui utilise ses points pour escalader, Tails qui vole en tenant Sonic par la main, Sonic utilisant sa forme sphérique pour se battre, dont la vitesse lui permet de se retrouver coller à des parois, pleins de détails propres aux jeux, montrés, mais au final au second plan (surf sur un débris de robot), derrière une nouvelle scène de danse n’ayant rien à faire là mais beaucoup plus longue et beaucoup plus gênante que dans le premier, un humour ‘péter-roter’ plus poussé, des éléments de détail dans le premier qui arrivent au premier plan dans le 2 gagnant en infantilité, cassant l’effort avec la facilité, le scénario tenant sur trois pages; Le film en parvient à être moins fidèle à l’univers de Sonic malgré qu’il en montre bien plus que son prédécesseur.Plus riche, mieux abouti, mais sortant du spectacle de trop nombreuses fois.Trop joyeux, malgré des passages plus grave (les scènes de destruction du dernier acte sont plutôt saisissantes): Sonic, blessé, recouvert de boue, des blessures sur le front de sa famille humaine dans un lieu hautement dangereux et risquant la mort: mais à l’humeur jamais éteinte.Une introduction du GUN que l’on peut presque manquer."
"5,0","Suite plus que réussi qui en plus a réussi à être bien meilleur que le premier beaucoup de référence pour les personnes qui on fait les jeux par le passé"
"3,5","Le premier opus était suffisamment distrayant pour faire une suite et donc nous revoilà parti pour une nouvelle aventure avec 2 nouveaux personnages Taills le renard et Knuckles le....rouge!!! On reprend Jim Carrey (toujours un plaisir de le revoir!) dans le rôle du savant fou et l'on voit que même si cabotine un chouia trop par moment et bien il s'éclate à jouer ce rôle. Après c'est un peu léger niveau humour mais encore une fois distrayant pour passer un bon moment avec ces enfants. Cela rappel encore l'époque de la Mega Drive souvenir souvenir...les bruitages avec les anneaux ou quand passe en mode ""boule"" ou quand il prend une bulle d'air sous l'eau (combien de fois jsuis mort dans les niveaux marins!!!!!).Toujours embêter par la voix de Bentalha qui ne représente en rien ce personnage haut en couleur et plein d'énergie tout le contraire avec ce charisme d'un bulot sous anti dépresseur...contrairement à Knuckles avec la voix française de Idris Elba qui en impose. Mais passe un bon moment et post générique à voir juste après première série de nom à l'écran je préviens.^^ Mes garçons ont adoré en tous cas!!!!NOTE : 6.75/10"
"4,0","Cette suite n'est pas décevante du tout . Il y a l'action et l'humour qu'il faut , et les personnages ( TAILS et KNUCKLES ) , de l'univers de hérisson , qui apporte le FUN ."
"4,0","Nous retrouvons un robotnik devenu fou mais toujours aussi, voir plus, ingénieux, beaucoup moins drôle que dans le premier opus, son humour s'est vraisemblablement transformé en puissance et folie mais personnage très inspirant contrairement à Sonic qui semble ne pas avoir évolué et reste un enfant, cette fois accompagné de 2 personnages de son univers, à voir !"
"3,0","Un film très gamin faut l’avouer. J’ai pas passé une horrible séance mais juste c’est enfantin quoi…Là où le premier c’était limite, se second opus en fait dès caisse….Bref6/10Publié le 01 avril 2022"
"2,0","Une suite aussi laborieuse que le 1er film , même si on notera quelques références sympathique avec le jeux vidéo ( décors qui ressemble à certains niveaux , les personnages de tails et knuckles etc...) le film enchaîne mauvaises blagues sur mauvaises blagues et certaines scènes ne sert à rien au film,( l'intrigue du mariage a Hawaï etc ... ) bref un film soi disant pour les enfants ... pauvres gamins !!!!"
