"Note","Description"
"2,5","Suite au succès aussi bien critique que commercial du premier opus en 2019, il était évident qu' une suite à Sonic allait être rapidement mise en chantier. La fin ouverte du premier film ( avec notamment l' arrivée de Tails) appelé à une suite , et ce Sonic 2 est le prototype même de la suite qui n ' a rien à racontée. ou presque Et bien souvent quand on à pas grand chose de nouveau pour faire une suite , on double la mise sur tout ce qui à fonctionner dans le premier opus tout en incluant des nouveaux personnages. . Bigger its better ? Eh bien pas forcément .On double les scènes d' actions les méchants , les décors en posant l' action en Sibérie ( enfin la Sibérie en fond verts affreux, faudrait pas exploser le budget non plus) , a Hawaii ou encore dans un temple rappelant fortement Indiana Jones.On sent l ' intrigue prétexte à multiplié les scènes d' actions , les apparitions des bad guys , et l' humour qui fonctionne étrangement beaucoup moins que dans le premier.Là où dans Sonic l ' humour provenait principalement du petit hérisson bleu et de Dr Robotnik eux même , ici l ' humour est trop dissiminés à travers de personnages secondaires horripilants. Dans cette suite , plusieurs éléments et personnages du premier rempilent , Jeff Fowler derrière la caméra revient également , et on sent que l ' originalité du scénario n ' était pas au centre des préoccupations.Sonic 2 ne prend jamais le temps de poser les bases d ' une véritable intrigue , ou de s 'encombrer de véritables enjeux ( on ne sent jamais une véritable menace pour Sonic et Tails , ni même pour les habitants de Green Hills)  Comme dis plus haut l' ambiance et les visuels sont allégrement pompés sur des licences bien connues du grand public.On navigue entre l' ambiance très urbaine des productions DC en début de film , tout en faisant plusieurs clins d' œil aux films d ' espionnage ( de nombreux gadgets et explosions sont au centre de l ' intrigue). Au final , Sonic 2 se rapproche de beaucoup de sagas réputées , sauf de Sonic. L ' esprit jeu vidéo SEGA , pourtant bien mis en avant dans le premier , est ici relégué au second plan , pour ressembler finalement au tout venant.Le fait que ce soit un film destinés aux enfants ne devrait pas être un prétexte pour que l ' écriture soit aussi bâclée.Je n ' ai pas compté le nombre de facilités de scénario ( la scène du bar en Sibérie tellement facile et mal introduite à l' histoire !) et de Deus Ex Machina qui permettent à l ' histoire d' avancer sans problèmes et de sortir nos deux héros de se sortir n' importes quels situations. C ' est ce qu' on appel de l' écriture paresseuse, misant tout sur l' enchainement des péripéties et sur le rythme au détriment de toutes vraisemblances ou logique. On se concentre donc ici , sur la recherche d ' un artefact hyper puissant ( une émeraude verte) et qui permet d ' obtenir une puissance hors du commun et que nos deux héros vont devoir rechercher à travers le globe avant que Robotnik ne mette la main dessus. ( ç' est pas comme ci c ' était l ' idée prétexte de 80% des gros blockbusters , pour l ' originalité on repassera donc)Suite oblige , les méchants sont ici multipliés par deux. Pour mon plus grand bonheur, Jim Carrey ( en roue libre totale) revient en tant que Dr Robotnik, et à toujours l ' air de s' amuser comme un fou dans son rôle dans lequel il s ' investit totalement. Son nouvel allié dans ses méfaits , Knucles, bien connus des afficionados de la licence , est également au centre de cette suite, et un antagoniste plutôt puissant que vont devoir affronter Sonic et Tails . Leurs designs à tous les trois , ainsi que l ' animation des personnages en elle même proprement bluffante, est une des grande réussite du métrage. Car oui , techniquement parlant ( globalement disons , passons sur des fonds verts encore trop visibles ,et des décors de studios évidents) , cette suite marque des points. Et le soin apportés aux effets visuels sont à apporté au crédit des responsables des SFX ( blur Studios déjà à l ' oeuvre sur Avatar ou Man of Steel c est pour dire le niveau). Cette suite à la volonté d ' aller plus loin dans le déluge d ' effets spéciaux , d' action , tout en mettant la pédale double sur l' aspect film d ' aventure.  Bien sur tout n ' est pas à jeter dans cette suite , car malgrès ces nombreux défauts inhérents aux suites faciles , Sonic 2 divertit tout du long et il est vrai qu' on ne sent pas le temps passé. Les péripéties s ' enchainent rapidement ce qui ne donne pas le temps de s' ennuyer et même quelques séquences amènent un parfait équilibre entre l ' action et l ' humour bien dosés. ( mention honorable à la scène du mariage du perso de Natasha Rothwell , hilarante et qui vole la vedette à chacunes de ses apparitions). Plus étonnant encore , le rythme frénétique ralentit parfois pour faire place à des séquences d' émotions ( par le biais du retour du personnage de LongLaw , mentor de Sonic) plutôt bienvenue et qui donnent aux personnages un peu d ' épaisseur. L' importance de l ' amitié ( à travers les personnages de Tails et de James Mardsen ) et la nécessité de créer des liens forts pour affronter les épreuves alimentent régulièrement l ' intrigue , ce sont des thèmes universels et qui parlent à tout le monde.Evidemment comme c ' est souvent le cas dans ce type de projets commerciaux, on termine sur un happy ending très hollywoodien et on nous laisse sur une fin volontairement ouverte sur une suite en cas de succès de ce second opus en teasant la venu d' un nouvel antagoniste iconique.Exemple le plus typique donc , de la suite qui n ' a pas grand chose à raconter mais qui existe seulement pour être le penchant plus gros et plus spectaculaire du premier opus. Oui techniquement ça se tiens ( et encore faut pas trop être regardant) , oui tout s' enchaine très vite pour qu' on est pas le temps de s ' ennuyer. Mais que c ' est générique et mal écrit par contre ! Vous avez déja vu ce film ailleurs parce que Sonic 2 puisse son énergie et ses inspirations dans tout ce qui à marché ses dernier temps et en oublie de faire honneur aux jeux vidéos SEGA auquel il est censé être l' adaptation."
"2,5","Clairement Sonic 2 ne sera pas le film de l'année. Comme le premier film, il s'agit d'un divertissement familial qui suit un cahier des charges clairement balisés et ne reserve que bien peu de surprises. Néanmoins le film est meilleur que le précédent, plus rythmé, avec le côté vintage de films adaptés de jeux vidéo des années 90. C'est un peu bête, parfois niais mais aussi d'un kitsch parfois outrancier qui doit beaucoup au surjeu d'un Jim Carrey en roue libre. Le générique de fin en visuel sega des nineties et la scène post générique à la Marvel donnent même curieusement envie de voir la suite. Alors il faut laisser son cerveau au vestiaire et retrouver son âme d'enfant mais l'ensemble reste assez divertissant à défaut d'être innovant."
"4,0","Jim Carrey excellent les enfants ont adoré, j'ai apprécié ce scénario, très bien conçu on a passé un agréable moment"
"5,0","Ce film est trop cool!!!🤩🤩🤩 Les scènes de combat sont juste incroyable et les personnages sont spectaculaires! 🤩😍😃 
spoiler: 
Ma scène préférer était celle ou Sonic est devenu Super Sonic avec les 7 Émeraudes du Chaos et il a détruit le robot géant de Robotnik.
 Si vous n'avez pas encore vu le film, foncez au cinéma!!!"
"5,0","Film très bien réussi pour des personnages de sega , je l'ai beaucoup aimé. C'est un film de Sonic où je trouve qu'il y avait beaucoup d'action par rapport au premier film de Sonic"
"3,0","Le souci de ce film pour moi est le choix de contenter les fans du jeu tout en essayant aussi de plaire aux 8/15 ans actuels. C'est un combo trop audacieux pour moi. Oui, voir Knuckles, Tails, Sonic et Jim Carrey exagère un peu mais est au top de sa forme en eggman c'est jubilatoire. Surtout que les orientations de caractère de chaque personnage sont très bien pensées. Les références au jeu que l'on retrouve nettement plus que lors du premier opus sont aussi sensas, je pense au différent endroits visités qui ressemblent à des mondes du jeu au final. Mais le film perd en puissance et se noie dans ses phases transitoires avec des scènes inutiles (je pense à tout ce qu'il se passe à Hawai / Le mariage), au concours de danse. Bref, 20 minutes en moins ça n'aurait pas fait de mal."
"5,0","Bon je suis pas habitué a faire des avis mais je me lance.Selon moi, Sonic 2 est exactement le film qu'il doit être.Vous y venez en sachant que ça va être drôle et que vous allez voir un film de l'univers de Sonic donc oui ça sera pas un film de maître ou je ne sais pas quoi mais personnellement j'ai passé un très bon moment devant.Il a de temps en temps des moments différents d'habituellement qui peuvent être plus sérieux ou autres et il le gère très bienLa scène post-credit très cool aussi : ATTENTION SPOILER.
spoiler: 
Avec la révélation de l'arrivée de Shadow on peut donc penser à un troisième opus voir plus encore ? Une futur arrivée de Métal Sonic ?
Un Sonic cinematic universe ?
Enfin le combat final avec le grand robot de Dr.Robotnik (Eggman) était génial et superbement bien réalisé.
Bref de bonnes choses pouvant arriver :)
Moins gros spoiler :
spoiler: 
Enfin la façon dont ont été fait les crédits, sous forme de jeu vidéo 2D de l'époque, est une incroyable idée j'ai adoré le style.
La présence de Sonic et ses compères a été absolument bien incrustés dans le film / ses décors/ et avec les humains ! :)Le trio Knuckles ; Tails et Sonic a été très bien géré et j'ai beaucoup apprécié leur présence.Eggman, joué par Jim Carrey remplit bien son contrat dans le film :)Bref, un très bon film a voir selon moi que ce soit pour les adultes ou enfants, étant moi-même un adolescent (entre adultes et enfants donc) j'ai souri a multiples reprises au cours du film et même ri plusieurs fois !"
"5,0","Excellent film malgré les critiques. Les effets spéciaux, le scénario, l'humour, absolument a voir au cinéma. Les vrais le trouveront cool, les amateur de film violent sans cerveau ni morale le trouveront moyen"
"3,0","A voir avec les enfants ils ont adorés . Pour ma part ça passe vite il y a de l'action mais les jeux d'acteurs sont vraiment surjoués ."
"3,0","La cible est clairement les enfants mais sinon c'est un bon divertissement; je pense que j'aurais adorer à 10-12 ans.Le film est généreux et le personnage de Sonic est très réussi; c'est un pur héros à la Luffy ou Naruto qui ne tombe jamais dans l'apitoiement de l'adolescent relou.Point négatif: le personnage de Jim Carrey et les scènes de surjeu vraiment longues et ratées (dans le doute cela est peut-être imputable à la vf)."
"4,0","Très très bon divertissement pour toute la famille, captivant, drôle , de l'action de l'émotion , des effets spéciaux réussi, une belle réussite"
"4,0","C'est une bonne suite ! On retrouve l'action, l'humour, l'aventure et l'attachement aux personnages comme on avait dans le 1. On passe un super bon moment, à aller voir en famille !"
"4,0","Le film a tout pour être mieux que le 1er mais les ""blagues"" sont lourdes , c'est insupportable ! Entre le flic et la belle soeur... meme combat. Pourtant on retrouve un Sonic fidèle aux jeux et aux series, un Tails attachant et un Knuckles badasse comme il faut. Si on retire les faux raccords qui piquent les yeux et les graphismes parfois limites, c'est un super film pour les fans et les enfants qui découvrent. Mais je ne peux pas m'empêcher de ressentir la sensation que la direction a cherché un équilibre pour éviter que le film ne soit trop bon, en plaçant des vannes vraiment débile et hors sujet.(J'ai mis 4 etoiles mais je l'estime plutot vers 3 étoiles --> la post crédit !!)"
"3,5","Je trouver ce sonic 2 beaucoup moins bien que le premier, même si Jim Carrey est toujours également à lui même, les autres partie comiques mon moins fait rire.Sympa de retrouver la bande à sonic Mon fils 10 ans à quand à lui bien aimé"
"5,0","Super film les fx sont sublimes , convient à tous publics et respectueux du jeu vidéo avec des petits rappels …"
"1,0","Déconseillé aux enfants de plus de 7 ans, et encore très long, deux heures, dialogues ennuyeux, film lourd typique plein de clichés à l'américaine. Deux jeunes de 11 ans ont été très déçus."
"4,5","Super moment passé en famille, bon il y en aura toujours certains qui auront à redire mais comme pour le premier, nous, on s’est bien éclatés ! ☺️ Rigolade, action, si vous voulez vous divertir c’est parfait !"
"4,5","Sonic 2 est une excellente suite du premier, les effets spéciaux sont très bien faits, de même pour le son et les images. Les grands fans de Sonic devraient s’y plaire et retrouver ce qu’ils aiment. Un acteur très connu nommé Jim Carrey est dans le film. Je le conseille aux enfants de plus de 5 ans et pas plus que 10-11 ans. Mieux vaut regarder le premier avant sinon vous risquerez de ne pas tout comprendre. Ne serait-ce que le début de l’histoire qui commence sur une planète champignon.En résumé, J’ai adoré Sonic 1 et 2 même si je ne suis pas un grand fan de ce personnage parce que j’ai aimé l’histoire et que c’était plutôt bien fait. Je vous le conseille fortement.Robin9 ans"
"4,5","Cette suite des aventures de Sonic est largement meilleur que le 1er car on y découvre les autres personnages de l'univers Sonic: Tails et Knuckles. Jim Carrey est toujours plus diabolique avec son style d'humour particulier et il y a beaucoup de références liées à la pop culture. Bref, c'était cool, un bon moment !"
"4,0","Excellent divertissement dont le jeune public et tous ceux qui ont passé des heures à castagner le docteur robotnick dans les années 90 seront ravis. Effets spéciaux efficaces, on sent les moyens derrière. L'histoire est bien dans la suite du premier film et bien entendu, il faut rester après le générique ...."
"4,0","Bonne suite, dans la continuité parfaite du premier. Ce n'était pas facile d'en faire un film, mais le pari est réussi: des effets spéciaux parfaits, un Jim Carrey dans son jus, mais sans aucune vulgarités ou violence, chose rare dans les productions américaines aujourd'hui.Un bon moment pour toute la famille. Et vivement le 3..."
"0,5","Films vraiment pour les enfants je me suis fait...du début à la fin. c'est le même film que le 1er, donc il mérite la même note. Adapté pour les enfants de 8 ans, les autres passez votre chemin.De l’intrigue paresseuse, les enfants ne sortiront pas plus intelligents ; leurs parents, sans doute un peu abrutis par l’avalanche de péripéties pendant deux heures…"
"3,0","Pas mal, encore des blagues assez niaises et qui font presque mal à la tête parfois...Pour autant les références aux anciens jeux font bien plaisir. Et spoiler : // La scène post-générique hype vraiment pour une suite\\."
"3,5","Une suite à faire jalouser le précédent; Jim Carey dans toute sa splendeur avec son personnage de plus en plus fidèle à son origine. Belle moralité dans le scénario et surtout ne traînez pas pour le 3e."
"4,5","Très bon film pour un bon divertissement.Action et humour sont au rendez-vous pour passer un bon moment en famille et nous rappeler nos bons souvenirs d'enfance."
"4,0","Bien sur pas mon style de film mais je suis allé le voir avec mes enfants pour leur faire plaisir. et bien j'ai été agréable surpris, bien meilleur que le premier. On ne s'ennuie pas un seconde beaucoup d'humour, le rythme est frénétique et Jim Carrey est énorme, hilarant, complètement investi dans son personnage. film pop corn en famille, je recommande. Les critiques sont assez sévères."
"1,0","Je suis très déçu par Sonic 2. Le scenario n'est pas mieux travaillé que le premier, les gags sont lourds et longs visant le public mineur, les personnages humains ne servent à rien à l'intrigue (sauf Robotnik qui est le méchant) et les élements de référence des jeux ont été soit mal utilisés, soit ruinés.Je félicite tout de même les équipes derrière le travail de CGI et d'effets spéciaux qui nous offrent de magnifiques images.
spoiler: 
Petits points qui m'ont le plus marqué : Sonic utilise ses anneaux nimporte comment, je croyais qu'il étaient limités et rares mais apparement il peut se permettre de les utiliser pour faire ses courses
Les Chaos Emerauld sont toutes réunies en une?! Et cette mega emeraud peut se casser facilement..
Les services américains préparent une opération de fiancailles pour se rapprocher d'un autre couple qu'ils sont sencés surveiller pour trouver Sonic?!?! Suivi par une scene ""girl power""... Ils étaient combien pour pondre ce plan?
Le coup des anneaux de fiancailles qui sont confondu avc un anneaux a Sonic
Tails est un idiot... alors qu'il crée des machines de dingue
Knuckles est aussi rapide que Sonic!? Ils ont joué au jeux un minimum avant d'écrire les scenarios?
C'est pas tout ce qui est décevant mais je suis fatigué d'écrire autant juste pour dire que.. bah c'est décevant"
"5,0","Bon, ce film a un public bien défini, les fans de Sonic et les enfants. Si vous faites partie d'une de ces catégories, vous allez adorer le film, et c'est mon cas. Il y a tellement de références, de clins d'œil, d'easter eggs que le fan aura du mal à contenir ça joie.Le film réussit ce qu'il cherche à faire, il montre ce que le fan veut voir au grand écran. Cependant si vous n'êtes pas fan de l'univers et que vous voulez tout de même allez voir le film, mettez vous à l'esprit que vous n'allez pas voir un chef d'œuvre qui va révolutionner votre vision du cinéma, mais juste un film sympa avec de bonnes scènes d'action et des blagues pour enfants. C'est dans cet état d'esprit qu'est allez le voir un de mes ami qui n'est pas fan de Sonic et qui avait trouvé le premier sympa mais sans plus et il a adoré Sonic 2."
"4,5","Après Sonic 1 qui était le prologue de la saga des films. Sonic 2 est le vrai film qui démarre la saga. Jusqu'à nous emmener à un 3ème épisode.Cette épisode ne manque pas d'action. Le scénario est très réussi. Robotnik (Jim Carrey) devient plus méchant dans le film que dans les Jeux. Et l'apparition de Tails et Knuckles est une vrai surprise à nos yeux.Le première épisode n'avait rien à avoir avec la saga. C'était plus un film comédie que un film d'action."
"3,0","léger et sans prise de tête, le film permet de suivre un peu l'histoire de Sonic. je suis un peu déçu par contre du faible niveau des blagues et des longueurs de certaines scènes."
"4,0","Aprés avoir vue le premier j'attendais avec plus ou moins d'entoushiasme cette suite des aventures du hérisson bleu le plus rapide du monde.Le 1 ne prenais pas trop de risque et nous montrais une histoire convenu avec quelques surprises ici et la.Pour cette suite d'emblé on sent que le réalisateur est un fan du hérisson, les réferences sont légion et pour ceux qui comme moi suivent sonic depuis les années 90 c'est un véritable régal de chaque instant.Il y a cependant des moments un peu longuet ou j'ai décroché au moment du mariage qui nous sortent de la trame principal, on attend juste le moment ou robotnik magnifiquement bien joué par jim carrey va faire son apparition pour defaire le hérisson.Que ce soit sonic, tail's ou knuckles chacun a sa personnalité qui correspondent exactement a ce que l'on peu voir dans les jeux ou les dessin animés et chacun a son pouvoir correspondant.La scéne post générique nous apprend beaucoup sur le n°3 qui sortiras courant 2023.Plus que tout je suis trés content de voir le respect de l'oeuvre par le réal qui j'espère continueras dans cette voix pour la suite ."
"0,5","Ce film est nul ! Je préfère Kill Bill !"
"5,0","Excellent divertissement familliale comme il y en a peu en ce moment , fidele au jeu , un fan service excellent .Vivement le troisieme ."
"5,0","Ce deuxième film a beaucoup de références par rapport aux jeux, et je le trouve un cran au dessus du 1er. Les personnages sont très biens fait et les acteurs sont au rdv. Les enfants ont adoré (7 et 8ans)Bon film"
"4,5","Tellement, mais tellement meilleur que le premier. Plus épique, plus grand. je trouve qu'il respect l'univers du jeu en faisant autre chose. il y'a un meilleur équilibre sur le personnage de Robotnik qui bouffait l'écran dans le premier. Sonic est mieux développé. Tails et Knuckles sont très bien introduit. Un film d'aventure à la Indiana Jones. Des références au jeu avec des péripéties qui correspond à des niveaux. Bref. il y'a quelques scènes inutile. personnellement, j'en ai trouvé 2/3. Mais avec le reste ça passe. Bref, ils sont sur la bonne voie."
"3,5","Une suite plus fun, généreux et plus proche de l’univers Sonic que le 1er. Ce n’est pas certes le film de l’année, on retrouve les défauts du 1er, à savoir une comédie burlesque omniprésente et pas toujours mature et efficace. Mais c’est un Sonic. Pas Mass Effect. Il est donc naturel que c’est fait avant tout pour les plus jeunes. Et pour ce qu’il est, ben cette suite offre un divertissement familiale réussi avec des références nostalgique aux gamers de Sega."
"5,0","Un super moment pour petitset grands.Bourrés de clins d'œil pour nous les anciens et fun, j'ai adoré et mon fils aussi.Très bon équilibre entre scènes d'action et scènes humoristiques avec un Jim Carrey complètement frappé comme on l'aime!A voir!"
"5,0","Film vraiment très sympa avec beaucoup d'humour qui a fait rire mes enfants 5 et 9 ans. Un peu moins accessible pour les adultes."
"4,5","j'ai beaucoup aimé le film Jim Carrey dans le rôle du méchant il est magique et ont a beaucoup rigolé"
"5,0","Excellent film à voir avec ses enfants, énormément de références et jeu de mots, le film est super rythmé, pas de temps mort, la musique est super !L'introduction des nouveaux personnages est très bien, et la découverte des différentes tribu et planètes est géniale et j'espère sera developpe dans un 3eme opus.Bref une comédie pop corn qui se prend pas au sérieux, des barres de rires et Carey est encore une fois génial en robotnik !"
"4,0","Sympa pour l'histoire et le final que l'on suppose dès le début, par contre l'arrivée du personnage du petit renard donne un peu de pêche et de différence avec sonic qui se croit toujours exclusif et son moment arrive avec un peu de différentes occasions qu'il prend tout au cours de l'histoire du film ! Annonçant à la fin une suite pour un troisième numéro !"
"4,5","Franchement, même si ce film est surtout destiné aux enfants, j’ai passé un très bon moment devant ce film, des nouveaux personnages attachants, plein d’humour et un Jim Carrey excellent comme dans le 1er."
"5,0","Ce film etait juste ouffissime , j'ai vraiment adorer , loin du dernier batman qui etais tres ennuyant , à la fin du film j'avais vraiment aucune remarque negative , beaucoup d'easter egg très apprecié, franchement top , ceux qui disent (c'est juste un film pour enfant) je me demande ce qui cloche chez vous ."
"5,0","Alors je viens de voir Sonic 2 et franchement, je ne m'attendais pas a ça ! 
spoiler: 
La scène de Sonic courant sur l'eau, les références aux jeux vidéo, la Master Emerauld et puis Super Sonic quoi ! Mais je pensais pas qu'il l'aurait mis et ils l'ont mis quoi ! C'est incroyable !
 Le film est un vrai chef-d'œuvre cinématographique et je ne peux que vous encourager à le voir ! FONCEZ !"
"5,0","On n'a adorer avec mon fils de 6 ans ce film ,une super suite !!! Un peu d'humour,un peu de cascades et de bagarres. Un bon cocktail pour un bon moment. Je le recommande."
"4,5","Film plein d'action. L'arrivée des deux compagnons d'aventures du jeune hérisson m'a particulièrement plu. C'est un film très fidèle aux aventures du jeune héros au travers des jeux Sega. Long-métrage très contemporain.Le Spoiler de fin annonçant le troisième film en a fait fantasmer plus d'un, l'excitation est à son maximum !"
"5,0","L'action est à son comble, des combats palpitants, et un trois prévu!! Vraiment je suis trop content"
"5,0","Le premier était génial, mais alors là, le second film basé sur Sonic est tout simplement extraordinaire !!!!!Le troisième film consacré sur l'univers de Sonic sortira en 2023 et se centrera sur 
spoiler: 
shadow
 plus particulièrement !"
"5,0","Une bombe atomique ! Vu en 4D max , ça n’arrête pas une seconde. Enfin une suite mieux que le 1er ! Ils ont mis le paquet en effets spéciaux , l’histoire est sympa à suivre , les personnages ont une identité propre , et Jim Carey est transcendant dans le rôle du méchant Eggman. De 7 a 77 ans."
"5,0","j'ai mis la note 5 étoile parce que je trouve beaucoup énormément mieux que le 1er Film Sonic parce que il y a Tails c'est l'un meilleur amis de Sonic et Knuckles le guerrier echidné au départ il était le complice DR Eggman ( Robotnik ) il a croire que Sonic est un ennemie et puis finalement il était devenu un allier maintenant Sonic Tails Knuckles formé un trio comme Sonic Heroes face a DR Eggman ( Robotnik ) pour récupéré l'émeraude du chao afin que Sonic est Transformé en Super Sonic enfin bref c'est trop cool ce film j'ai hâte de voir Sonic 3 Le Film car il y a apparition Shadow le hérisson noir"
"4,0","Agréablement surpris du 2 ème film qui est génial franchement les combats etc sont incroyables, le seul bémol pour moi c que le film du 2h mais il y a 45 min ba qui sert a rien quoi 
spoiler: 
scène du mariage et scène de la danse avc les russes , on s'en fou complètement de voir sa quoi fin nous on est là pour Sonic pas pour voir le mariage de la belle sœur de je sais plus qui enfin voilà c mon avis"
"5,0","EXCELLENT second film, encore meilleur que le premier. En tant que fan de sonic j’ai adoré, j’ai eu une multitude d’émotions tout le long et je ne me suis pas ennuyée une seule seconde. Film à voir en VO selon moi cependant"
"4,0","Marre des critiques qui descendent les films comme celui là... J ai une fille de 7ans qui avaient des anneaux pleins les yeux et moi même, Gamer de 45 ans j ai passé un très bon moment même si je peux être parfois exigent dans le choix de ma cinémathèque...les effets spéciaux sont réussi... L intro de nouveaux personnages vivifiant... A voir d un œil d enfant et à profiter en famille..."
"5,0","C'est le meilleur film que j'ai jamais vue il les trop bien je vous le conseille je vais vous raconter Sonic à une nouvelle transformation il et devenu trop fort ... je vous le conseille"
"4,0","Qui pouvait croire que le film Sonic aurait une suite, surtout après le terrible bad buzz du design de notre hérisson favori, qui avait mis le feu aux poudres. Et pourtant le 1er opus a été une franche réussite, ce qui a amené à une suite, deux ans plus tard.Et bien , j''en suis ravi ! Cette suite est juste géniale et cette fois, on a un véritable film Sonic, contrairement au premier où il n'y avait presque rien de l'univers du hérisson bleu. Ce film est encore mieux que ce que j'espérais et j'ai passé un agréable moment. Alors certes, il y a des points faibles comme l'humour où on en fait trop à certains moments et certains passages qui servent strictement à rien comme
spoiler: 
 le mariage
. Mais à part ça c'est nickel. Les petites références sont géniales et les personnages (Sonic, Tails et Knuckles) sont très charismatiques comme dans le film précédent. La VF finalement n'est pas si horrible que ce que j'ai pu entendre (ça reste mon avis bien sûr ^^'). Et que dire de la bataille finale qui est juste ouf 
spoiler: 
le robot eggman et Super Sonic bordel
 ! Et la scène post-générique pour Sonic 3 me hype énormément
spoiler: 
 Shadow
. Bref, un bon petit film à voir en famile où avec des enfants, je vous le conseille"
"5,0","ce film est a voir si vous etes un grand fan de sonic dans ce film nous pouvons constatez un amitié forte entre nos deux héros :tails et sonic ce qui m'a beaucoup plus, [/spoiler]en plus de cela nous avons eu une scene post-crédit ou nous pouvons voir quelque secondes un deuxième ""sonic"" [spoiler]"
"3,5","étant quelqu'un qui est un petit peu fan de Sonic ,ce film je l'ai bien apprécier car il cache beaucoup de référence des jeu Sonic ou de la série Sonic X (je conseille vraiment ) qui est vraiment très bien car c'est pas abusif, avec Dr.Robotnik qui correspond bien au méchant 
spoiler: 
avec son Robot géant la fin du film qui est représente vraiment un boss de jeu de fin , ou même le projet Sadows pour la suite des films qui hype tout les fan de Sonic car on peut s'attendre à apprendre plus sur l'histoire du monde de Sonic breff ceci est que Théorie revenons sur le film,
 En sois les personnage de Sonic , Tails , Knucles et Dr.Robotnik sont très bien mais le problèmes du film est l'humour trop gamins et lourds 
spoiler: 
 Les scénes avec pendant le mariage ne sert pas a grande choses il aurait du oublier cette partie et se concentré plus sur Sonic et les autres 
 Mais faut pas oublier sa reste un film d'animation tout publics et surtout pour attirée les enfants mais il devrait plus se consacrée plus sur leur communautés et si il y a un prochain film réduire leur humeurs enfantin"
"4,0","Tres bon film.J aime beaucoup les références faites aux jeux vidéo et les personnages sont attachants."
"5,0","Film graphiquement magnifique !! L'histoire et genial et plein d'élément ce rapporte au jeux de notre enfance (promis je spoile pas). Et le final et juste magique. Pris plein les yeux. Drole, touchant et une tuerie !!!!!!"
"3,5","Du point de vue d'un jeune fan de Sonic, rentré dans la série il y a pas longtemps, le film est très bien.Sur la grande échelle de l'univers cinématographique, d'accord, ce n'est pas un chef-d'œuvre, et il à bien des défauts, mais pour le dire en des mots simples : J'ai passé un très bon moment.Les films répètent l'histoire des jeux : Le premier était bon, pas forcément transcendant, mais posait les bonnes bases sur lesquelles le second à construit.Pour rentrer dans les détails de ce qui m'a plu ou pas, commençons avec le récit, qui somme toute, est plutôt agréable à voir se dérouler. Il y a certes des moments long, plus ou moins inutiles, qui adviennent par-ci par là, mais en général, on a pas trop le temps de s'ennuyer. Il y a aussi un point que je trouve important d'aborder : c'est la caractérisation des personnage, chose qui me tient particulièrement à cœur. Ici, elle est très bien faite, au moins pour les 4 personnages principaux. Premièrement : Sonic qui est en pleine adolescence, longtemps privé de contacts sociaux et qui s'est abreuvé de pop culture dans le premier film, et qui ici, réitère tout ce qu'il à vu, ce qui pour certains donnent l'impression qu'il force le fait d'être cool, et ils ont raison complètement, et c'est ce que j'apprécie : on à un Sonic qui apprend. Ensuite on a Tails, fidèle au Tails de Sonic Adventure, mais qui reste un enfant pas forcément très courageux, mais qui surmonte ses peurs et sait se rendre utile, puis Knuckles, le personnage le mieux caractérisé d'après moi, qui comme on le sait, n'a pas eu de contacts depuis son enfance, et ne sais donc pas comment fonctionne la confiance, l'amitié, et ne connais pas les valeurs d'autrui, mais comme Sonic, on a une progression du personnage au travers du film et des évènements. Enfin Robotnick est très bien tel qu'il est, mais je pense rajouter le fait que vers la fin du film, il se met vraiment à pencher vers son caractère des jeux, de par ses actions et dialogues, et c'est très bien implémenté.J'aimerai parler aussi d'un moins bon point qui m'a posé problème personnellement : les effets spéciaux et l'incrustation des personnages qui m'a parfois déçue. Je veut dire par là qu'à certain moment ça se voit : des effets spéciaux à couper au couteaux diront-nous. Après, je termine sur une note positive, mais il y a de la référence à gogo dans ce film, et c'est du pur bonheur pour un fan comme moi.Sommes toute un bon film pour une démographie moyenne, et un très bon film pour la fanbase Sonic, qui d'après leurs retours disent qu'ils apprécient en grande majorité.Je le conseille vivement à ceux qui apprécient Sonic, et ceux qui ne sont pas sûrs et veulent se faire un avis, et je le conseille moins vivement mais quand même aux familles qui cherchent juste à passer un bon moment avec les enfants."
"4,0","La suite du premier volet qui introduit de nouveaux personnages comme Tails et Knuckles. Dans l'ensemble, le film se laisse regarder. En tant que grand fan de la franchise. L'intrigue parallèle avec les ""humains"" est un gênante mais l'ensemble reste globalement bon.Beaucoup de références aux jeux vidéo Sonic qui sont appréciables : 
spoiler: 
supersonic, les émeraudes, les bulles d'eau sous l'eau...
Le mariage est gênant et le GUN n'est pas aussi sérieux et bien représenter par rapport aux jeux, on dirait des Clown (Tom Butler entre autre).En revanche le final est grandiose, dommage que tout le film n'ait pas été de ce niveau.On apprécie la scène post générique : 
spoiler: 
 qui tease le Sonic 3 autour de Shadow, en espérant qu'ils reprennent le scénario de Adventure 2 qui est simplement grandiose et travaillé en rebondissement 
Je recommande ce film à tous fans de la franchise, aux familles mais moins aux amateur de cinéma fantastique qui n'ont pas forcément d'attaches avec ce petit hérisson bleu."
"5,0","Le film 🎥 et juste incroyable j ai passé un excellent moment j ai pas vu les 2h de film. Il y a tout dans cette suite action. Humour. Aventure. Le scénario et top. Vivement le 3 😁"
"5,0","Superbe suite.Le 1er était top, le second rempli le contrat. Nous avons adoré, maintenant nous attendons patiemment le dvd"
